Date_Time,Current(A),Voltage(V),Charge_Capacity(Ah)
12-13-2013 12:30:15,0,3.295254707,0
12-13-2013 12:30:45,0,3.295416594,0
12-13-2013 12:31:15,2.599924326,3.515970707,0.021676295
12-13-2013 12:31:45,2.599744081,3.567465782,0.043352211
12-13-2013 12:32:15,2.599744081,3.650052071,0.065016349
12-13-2013 12:32:45,2.599744081,3.782190084,0.086690637
12-13-2013 12:33:15,2.599744081,3.96598506,0.108376916
12-13-2013 12:33:32,2.599744081,4.100066662,0.120619165
12-13-2013 12:34:03,1.288695931,4.09941864,0.135533737
12-13-2013 12:34:33,0.774806976,4.099580765,0.143880146
12-13-2013 12:35:03,0.509928703,4.099580765,0.149123864
12-13-2013 12:35:33,0.360089511,4.099580765,0.152696483
12-13-2013 12:36:03,0.269031972,4.099742413,0.155290241
12-13-2013 12:36:33,0.208266839,4.099742413,0.157262035
12-13-2013 12:37:03,0.16589354,4.099742413,0.158812515
12-13-2013 12:37:33,0.135060206,4.099580765,0.160062781
12-13-2013 12:38:03,0.112340897,4.099580765,0.161090778
12-13-2013 12:38:33,0.094670326,4.099742413,0.16195066
12-13-2013 12:39:03,0.08042568,4.099580765,0.162679742
12-13-2013 12:39:04,0.079884745,4.099580765,0.162710128
12-13-2013 12:39:34,0,4.009383202,0.162710128
12-13-2013 12:40:04,0,3.944447994,0.162710128
12-13-2013 12:40:34,0,3.891657352,0.162710128
12-13-2013 12:41:04,0,3.847773314,0.162710128
12-13-2013 12:41:04,-0.000173754,3.847773314,0.162710128
12-13-2013 12:41:34,0,3.810366631,0.162710128
12-13-2013 12:42:04,0,3.778465748,0.162710128
12-13-2013 12:42:35,-2.599550724,3.191455126,0.162710128
12-13-2013 12:43:05,-2.599911213,3.1731565,0.162710128
12-13-2013 12:43:35,-2.599730968,3.165545702,0.162710128
12-13-2013 12:44:05,-2.599550724,3.160849571,0.162710128
12-13-2013 12:44:35,-2.599730968,3.157124996,0.162710128
12-13-2013 12:45:05,-2.599730968,3.154048443,0.162710128
12-13-2013 12:45:35,-2.599730968,3.151619434,0.162710128
12-13-2013 12:46:05,-2.599911213,3.149028301,0.162710128
12-13-2013 12:46:35,-2.599911213,3.146761417,0.162710128
12-13-2013 12:47:05,-2.599550724,3.144818068,0.162710128
12-13-2013 12:47:35,-2.599730968,3.143036842,0.162710128
12-13-2013 12:48:05,-2.599911213,3.141093731,0.162710128
12-13-2013 12:48:35,-2.599730968,3.139312267,0.162710128
12-13-2013 12:49:05,-2.599911213,3.137531042,0.162710128
12-13-2013 12:49:35,-2.599730968,3.135911703,0.162710128
12-13-2013 12:50:05,-2.599911213,3.134130478,0.162710128
12-13-2013 12:50:35,-2.599911213,3.132511139,0.162710128
12-13-2013 12:51:05,-2.599730968,3.130729914,0.162710128
12-13-2013 12:51:35,-2.599730968,3.129110575,0.162710128
12-13-2013 12:52:05,-2.599730968,3.127167225,0.162710128
12-13-2013 12:52:35,-2.599911213,3.125224113,0.162710128
12-13-2013 12:53:05,-2.599911213,3.123604774,0.162710128
12-13-2013 12:53:35,-2.600091696,3.121337652,0.162710128
12-13-2013 12:54:05,-2.599911213,3.119394541,0.162710128
12-13-2013 12:54:35,-2.599730968,3.117289305,0.162710128
12-13-2013 12:55:05,-2.599730968,3.115184307,0.162710128
12-13-2013 12:55:35,-2.599730968,3.112917185,0.162710128
12-13-2013 12:56:05,-2.599911213,3.110488176,0.162710128
12-13-2013 12:56:35,-2.599730968,3.108059168,0.162710128
12-13-2013 12:57:05,-2.599730968,3.105630159,0.162710128
12-13-2013 12:57:35,-2.599730968,3.10287714,0.162710128
12-13-2013 12:58:05,-2.599911213,3.100124359,0.162710128
12-13-2013 12:58:35,-2.599730968,3.097209454,0.162710128
12-13-2013 12:59:05,-2.599550724,3.094618559,0.162710128
12-13-2013 12:59:35,-2.599911213,3.091217995,0.162710128
12-13-2013 13:00:05,-2.599911213,3.088141203,0.162710128
12-13-2013 13:00:35,-2.599730968,3.085064411,0.162710128
12-13-2013 13:01:05,-2.599911213,3.081501961,0.162710128
12-13-2013 13:01:35,-2.599911213,3.078101397,0.162710128
12-13-2013 13:02:05,-2.599730968,3.074700594,0.162710128
12-13-2013 13:02:35,-2.599730968,3.070814371,0.162710128
12-13-2013 13:03:05,-2.599730968,3.067089796,0.162710128
12-13-2013 13:03:35,-2.599911213,3.063041449,0.162710128
12-13-2013 13:04:05,-2.599730968,3.058993101,0.162710128
12-13-2013 13:04:35,-2.599730968,3.054782867,0.162710128
12-13-2013 13:05:05,-2.599911213,3.050248623,0.162710128
12-13-2013 13:05:35,-2.599911213,3.045714617,0.162710128
12-13-2013 13:06:05,-2.599911213,3.041018486,0.162710128
12-13-2013 13:06:35,-2.599730968,3.036160469,0.162710128
12-13-2013 13:07:05,-2.599911213,3.031302452,0.162710128
12-13-2013 13:07:35,-2.599911213,3.025796652,0.162710128
12-13-2013 13:08:05,-2.599911213,3.020128965,0.162710128
12-13-2013 13:08:35,-2.600091696,3.013651609,0.162710128
